name,latitude,longitude
T1080,55.6561,13.2178
T1090,55.6575,13.2386
T1110,55.6,13.2
T1120,55.6,13.2
T1130,55.6,13.2
T1160,55.7,13.2
T450,55.7967,13.1211
T460,55.7931,13.1186
T470,55.7942,13.1222
T480,55.7989,13.1206
T510,55.7936,13.1233
T530,55.7989,13.1219
T540,55.7967,13.1044
T550,55.8078,13.1028
T570,55.8097,13.1342
T580,55.8,13.1367
T610,55.7,13.2
T620,55.7,13.2
T670,55.8364,13.3075
T680,55.8369,13.3033
T690,55.8378,13.3092
T710,55.8403,13.3106
T720,55.8411,13.3047
T740,55.8397,13.2881
T780,55.8369,13.3181
T790,55.8386,13.3186
T800,55.8364,13.2906
T810,55.8383,13.2906
T840,55.9336,13.5519
T850,55.9419,13.5603
T860,55.9403,13.5511
T880,55.9392,13.5539
T890,55.9414,13.5542
T900,55.9428,13.5558
T930,55.9497,13.5533
T960,55.9319,13.5508
T970,55.9281,13.5481
T980,55.9261,13.5319
T990,55.6528,13.2244
TAA 03,62.6425,17.7422
TAA 04,62.6422,17.7406
TAA 14,62.6425,17.7356
TAA 17,62.6425,17.7372
T??D 01,62.8714,18.3447
T??D 04,62.8717,18.3436
T??D 05,62.8717,18.3419
T??D 06,62.8719,18.3422
"T?""L 03",62.6322,17.69
"T?""L 07",62.6322,17.6906
TB_ 01,62.8892,18.4522
TD_1,55.7683,14.1386
TD_2,55.7686,14.1383
TD_4,55.7689,14.1375
TD_5,55.7692,14.1369
TD_7,55.7694,14.1347
TD_8,55.7706,14.1342
TD_9,55.7708,14.1342
TD_13,55.7708,14.1331
TD_16,55.7719,14.1211
TD_17,55.7717,14.1206
TD_18,55.7714,14.1208
TEDEN 02,62.8836,18.1842
TEDEN 03,62.8839,18.1836
"TF?"" 04",63.0175,18.3281
"TF?"" 06",63.0167,18.3283
"TF?"" 07",63.0169,18.3283
"TF?"" 08",63.0172,18.3283
TGR 01,62.806,18.1896
TGR 02,62.806,18.1896
TNY 04,62.96,18.2844
TOM 01,62.9611,18.3589
TOM 03,62.9619,18.35
TOM 04,62.9619,18.35
TOM 06,62.9622,18.35
TOM 07,62.9614,18.3608
Tomega_2,55.7,13.2
Tottar_2,56.27373,13.90045
"TR?"" 01",62.9169,18.4728
T_4,55.5796,14.3336
T_7,55.5796,14.334
T_10,55.5796,14.3336
T_22,55.5796,14.3336
T_30,55.5796,14.3336
T_38,55.5796,14.3336
UduI _11,49.2771,16.6314
UduI _36,49.2771,16.6314
UduI _9,49.2771,16.6314
Ull_4,56.06,13.97
ZdrI _23,49.3853,16.2544
ZdrI _9,49.3853,16.2544
ZdrI _21,49.3853,16.2544
AN_1,51.85,6.4333
CSH_15,40.8585,-73.4675
CSH_17,40.8585,-73.4675
CSH_5,40.8585,-73.4675
F_10,42.4489,-76.5072
F_11,42.4489,-76.5072
H_12,42.373,-71.0627
H_17,42.373,-71.0627
KN_15,41.2816,-86.621
K_13,49.5,73.1
A_0,45,1.3
A_1,51.2167,4.4
Bi_5,63.324,18.484
Bi_7,63.324,18.484
Bo_4,49.4013,16.2326
B_0,49.2,16.6166
CIB_17,51.4083,-0.6383
CIB_5,51.4083,-0.6383
Co_0,38.3,-92.3
Cv_0,15.1111,-23.6167
Ede_2,62.877,18.177
E_2,50.3,6.3
F??_2,63.0165,18.3174
F??_4,63.0165,18.3174
G_0,50.3,8
Go_22,51.5338,9.9355
G_0,50.3,8
H_10,51.4083,-0.6383
H_5,51.4083,-0.6383
Ki_0,44.46,-85.37
KN_10,41.2816,-86.621
Kondara,38.48,68.49
K_9,49.5,73.1
Le_1,47.984,10.8719
L_0,41.59,2.49
M_0,55.7522,37.6322
M_0,50.3,8.3
NF_10,51.4083,-0.6383
NF_8,51.4083,-0.6383
No_3,52.24,4.45
Pu_23,49.42,16.36
Pu_7,49.42,16.36
Pu_8,49.42,16.36
R_0,46,3.3
Renne_1,48.5,-1.41
Renne_11,48.5,-1.41
S_0,38.3333,-3.53333
Sorbo,38.35,68.48
S_1,51.4083,-0.6383
S_8,51.4083,-0.6383
Tam_2,60,23.5
Tam_27,60,23.5
T_1,41.7194,2.93056
T_5,41.7194,2.93056
Ull_3,56.0648,13.9707
Ull_5,56.0648,13.9707
Uo_1,48.3,14.45
Uo_7,48.3,14.45
We_0,47.25,8.26
W_2,52.3,30
W_5,52.3,9.3
Zd_1,49.3853,16.2544
Ab_0,57.1539,-2.2207
A_1,48.0683,7.62551
Als_1,54.8,-2.4333
Ame_1,53.448,5.73
An_0,50.3,5.3
App_1,51.8333,5.5833
A_0,50.9167,9.57073
Ba_1,51.3333,6.1
B_1,47.5,7.5
Ben_1,52,5.675
B_0,52.4584,13.287
B_1,56.5459,-4.79821
B_1,44.5041,11.3396
Boo_1,54.4,-3.2667
Bc_1,49.5166,9.3166
Bsc_0,50.0167,8.6667
Buckhorn Pass,41.3599,-122.755
B_0,50.5,9.5
Bu_0,54.1,-6.2
Ca_0,53.2699,-1.64293
C_0,50.2981,8.26607
Ca_0,29.2144,-13.4811
Cn_1,51.3,1.1
C_1,37.3,15
Cer_1,42,12.1
Cha_1,48.0717,1.33867
Ch_0,53.7502,34.7361
C_1,40.12,-8.25
Co,40.2077,-8.42639
Co_1,49.416,2.823
D_0,49.8724,8.65081
D_G,47.3239,5.04278
D_0,50.7224,8.2372
Dr_0,49.4167,16.2667
D_0,51.051,13.7336
Dur_1,54.7761,-1.5733
Em_1,51.3,0.5
Ed_0,55.9494,-3.16028
E_0,51.5105,9.68253
E_2,50,8.5
E_D,50,8.5
E_0,49.5955,11.0087
E_0,60.1997,24.5682
Est,58.6656,24.9871
E_0,44.6447,2.56481
F_2,50.1102,8.6822
F_0,50.5,8.0167
Ge_1,51.0167,5.86667
Gi_0,50.584,8.67825
G_5,47,15.5
Gr_0,43.178,-85.2532
G_1,53.5,10.5
H_0,52.24,9.44
H_0,52.3721,9.73569
Ha_0,55.675,12.5686
H_0,51.3472,8.28844
H_0,54.4175,9.88682
J_0,49,15
J_0,50.927,11.587
Ka_1,35,77
K_0,54.8969,23.8924
Ki_0,55.6395,-5.66364
K_5,50.95,6.9666
K_0,50.1797,8.50861
Kro_0,49.631,11.5722
Kyoto,35.0085,135.752
La_0,55.6739,-3.78181
L_0,52.7333,15.2333
Le_0,47.984,10.8719
L_2,48,0.5
L_0,52.1611,4.49015
L_2:1,50.3833,8.0666
L_7,50.3833,8.0666
Mn_0,50.001,8.26664
M_0,41.3923,-70.6652
M_0,51.9183,10.1138
M_0,50.95,20.5
N_0,50.5,8.5
N_0,52.6969,10.981
N_0,51.0581,13.2995
O_0,50.2,8.5833
Ol_1,53.1667,8.2
O_0,50.3827,8.01161
Ov_0,53.3422,8.42255
O_0,60.385543,6.193019
Petergof,59,29
P_0,47.04,10.51
P_0,53.476,10.6065
Po_0,49.2655,-123.206
P_0,48.0653,-2.96591
Rag_1,54.3512,-3.41697
Rhe_1,51.9667,5.56667
Rom_1,42,12.1
Ro_0,49.4424,1.09849
Rsc_4,56.3,34
Rubezhno_1,49,38.28
S_1,41.7833,3.03333
S_2,41.7833,3.03333
Seattl_0,47,-122.2
Se_0,46.5438,11.5614
S_0,50.8738,8.02341
S_0,53.6473,-3.00733
S_0,52.5339,13.181
S_1,47.6667,9.5
Ste_0,52.6058,11.8558
St_0,52,36
T_0,49.5,14.5
Ta_0,47.2413,-122.459
Th_1,52.08,4.3
Tin_1,56.5,14.9
To_0,41.6639,-83.5553
To_2,41.6639,-83.5553
To_3,41.6639,-83.5553
Tsch_1,47.0748,9.9042
Ts_0,34.43,136.31
Tu_0,43.2708,-85.2563
U_1,48.0333,7.7667
Utrecht,52.0918,5.1145
Va_0,49.2655,-123.206
Ve_1,52.0333,5.55
Vin_1,54.9902,-2.3671
W_1,52.3,21
W_0.2,52.3,30
W_1,52.6,10.0667
W_0,47.9299,10.8134
Wi_2,54.6833,25.3167
W_0,49.7878,9.9361
Y_0,37.45,-119.35
Z_0,47.3667,8.55
Z_1,47.3667,8.55
D_1,50.3058,8.32213
J_3,49.2,16.6166
N_1,48.6167,6.25
H55,49,15
KEN,41.767,-72.677
WAR,41.7302,-71.2825
RR_7,41.5609,-86.4251
RR_10,41.5609,-86.4251
V??r_1,55.58,14.334
V??r_6,55.58,14.334
Lp_2,49.38,16.81
Lp_6,49.38,16.81
Pn_17,42.0945,-86.3253
Rm_A180,42.036,-86.511
627RM_1MN4,42.0333,-86.5128
627RM_1MN5,42.0333,-86.5128
627M_13Y1,42.093,-86.359
627M_1MI1,42.093,-86.359
KNO1.37,41.273,-86.625
KNO2.41,41.273,-86.625
KNO2.54,41.273,-86.625
PNA3.10,42.0945,-86.3253
PNA3.40,42.0945,-86.3253
PT1.52,41.3423,-86.7368
PT1.85,41.3423,-86.7368
PT2.21,41.3423,-86.7368
RMX3.22,42.036,-86.511
RMX4.118,42.036,-86.511
G_0,49,2
Li_2,56.0328,14.775
TH_ 03,62.7989,17.9103
Algutsrum,56.68,16.5
Br??_6,56.3,16
De_4,41.1876,-87.1923
Gul_2,56.4606,15.8127
Hod,48.8,17.1
HSm,49.33,15.76
K??vling_1,55.8,13.1
Kent,51.15,0.4
PH_3,51,7
Kulture_1,55.705,13.196
Liarum,55.9473,13.821
Lill?_1,56.1494,15.7884
PH_2,43.7703,11.2547
PH_34,48.6103,2.3086
N_6,35,-79.18
Sa_2,56.07,13.74
Vimmerby,57.7,15.8
B??_2,56.4,12.9
B??_1,56.4,12.9
B??_1,56.4,12.9
Bl_1,41.6833,2.8
Dra_1,55.76,14.12
DraI_1,49.4112,16.2815
DraII_1,49.4112,16.2815
E_1,50,8.5
G_0,46.5,6.08
Hov_1,56.1,13.74
Hovdal_6,56.1,13.74
I_0,47.5,11.5
I_0,50.5,7.5
Li_1,56.0328,14.775
L_1,55.71,13.2
Lund,55.71,13.2
Mi_0,44,12.37
N_1,47.5,1.5
Os_0,60.25,18.37
Pe_1,58,56.3167
Pl_0,41.5,2.25
Ra_2,49,16
R_0,50.5,8.5
Re_1,55.6942,13.4504
Sann_2,62.69,18
Sr:5,58.9,11.2
S_0,59,18
Wi_1,54.6833,25.3167
Kelsterbac_4,50.0667,8.5333
Fj??_1,56.06,14.29
Ka_2,35,77
Ull_1,56.06,13.97
Ull_13,56.0648,13.9707
LP3413.31,41.6862,-86.8513
LP3413.53,41.6862,-86.8513
328PNA062,42.0945,-86.3253
11PNA1.14,42.0945,-86.3253
RMX413.85,42.036,-86.511
Vinsl??v,56.1,13.9167
V??stervik,57.75,16.6333
Xa_3,38.6536,48.7992
Xa_5,38.6536,48.7992
Xa_6,38.6536,48.7992
Lerik_4,38.7406,48.6131
Lerik_7,38.7406,48.6131
Lerik_1,38.7833,48.5517
Lerik_3,38.7833,48.5517
Lerik_6,38.7833,48.5517
Lerik_7,38.7833,48.5517
Na_3,38.9522,48.925
Na_5,38.9522,48.925
Istis_5,38.9786,48.5594
Istis_9,38.9786,48.5594
Lag_2,41.8296,46.2831
Lag_4,41.8296,46.2831
Lag_5,41.8296,46.2831
Lag_6,41.8296,46.2831
Lag_7,41.8296,46.2831
Lag_8,41.8296,46.2831
Lag_4,41.8296,46.2831
Lag_6,41.8296,46.2831
Lag_7,41.8296,46.2831
Lag_10,41.8296,46.2831
Ba_5,41.7942,43.4767
Ge_14,40.1408,44.8203
Ye_2,39.8692,45.3622
Ye_4,39.8692,45.3622
Ye_5,39.8692,45.3622
Ye_7,39.8692,45.3622
Ye_8,39.8692,45.3622
Ed_1,55.9681,-3.21833
Ullapoo_8,57.9,-5.1525
Go_2,57.9672,-3.96722
??dal 1,62.8622,18.336
??dal 3,62.8622,18.336
Bar 1,62.8698,18.381
B??n 1,62.8794,18.4473
B??t 1,57.7133,15.0689
Dj_1,57.3089,18.1512
D??d 2,57.2608,16.3675
D??d 3,57.2608,16.3675
EdJ 2,62.9147,18.4045
EkS 2,57.6781,14.9986
EkS 3,57.6781,14.9986
F??L 1,63.016,18.3175
FlyA 3,55.7488,13.3742
Fri 1,55.8106,14.2091
Fri 2,55.8106,14.2091
Fri 3,55.8106,14.2091
Gr??n 12,62.806,18.1896
Gr??n 14,62.806,18.1896
Had_1,57.3263,15.8979
Had_2,57.3263,15.8979
Had_3,57.3263,15.8979
Ha_2,56.5804,16.4063
Ha_1,57.5089,15.0105
Ham_1,55.4234,13.9905
He_3,57.8765,14.8549
Hol_1 1,55.7491,13.399
Hol_1 2,55.7491,13.399
Hol_2 2,55.7491,13.399
Kal 1,56.047,13.9519
Kia 1,56.0573,14.302
Kor 3,57.2746,16.1494
Kor 4,57.2746,16.1494
Kr_3,57.7215,18.3837
Lan 1,55.9745,14.3997
N??s 2,62.8815,18.4055
Nyl 13,62.9513,18.2763
Pu_1,56.1633,14.6806
Pu_2,56.1633,14.6806
Si_1,55.5678,14.3398
Spro 1,57.2545,18.2109
Spro 2,57.2545,18.2109
Spro 3,57.2545,18.2109
Sten_2,57.8009,18.5162
Sten_3,57.8009,18.5162
Sten_4,57.8009,18.5162
Tu_4,57.6511,14.8043
Ul__1,56.0648,13.9707
V??rA 1,55.5796,14.3336
Ys_1,55.4242,13.8484
11C1,55.8877,-3.21072
I_Al_0,40.11,-7.47
I_Co_0,38.45,-7.5
I_Mo_1,40.04,-7.11
I_Re_0,39.29,-7.4
I_Re_0,38.75,-7.59
I_Va_0,38.53,-8.02
I_Vi_1,38.22,-7.84
I_Ad_5,38.77,-4.07
I_Ad_0,39.15,-4.54
I_Al_0,39.72,-6.89
I_Al_0,42.19,-7.8
I_Al_0,39.88,-0.36
I_An_0,41.94,2.64
I_Ar_4,41.7,-3.68
I_Ba_1,41.43,2.13
I_Be_0,36.52,-5.27
I_Be_0,38.37,-2.66
I_Be_0,42.52,-0.56
I_Bi_0,42.49,0.54
I_Ca_3,41.54,2.39
I_Ca_0,40.37,-5.74
I_Ca_0,40.94,-1.37
I_Ca_1,36.97,-3.36
I_Ca_1,38.25,-4.32
I_Cd_3,41.21,-4.54
I_Cd_0,42.23,-4.64
I_Ce_0,41.15,-4.32
I_Cm_3,40.05,-4.65
I_Co_1,42.31,3.19
I_Co_0,40.83,-2
I_Cu_1,38.07,-6.66
I_De_1,40.29,-6.67
I_El_0,41.81,2.34
I_Fu_2,38.26,-5.42
I_Fu_0,40.79,-4.05
I_Gr_0,36.77,-5.39
I_Gu_1,39.4,-5.33
I_He_12,39.4,-5.78
I_Ho_4,40.82,-1.68
I_Ho_0,41.67,2.62
I_Ho_0,40.4,-5
I_Hu_2,42.23,-3.69
I_Is_4,43.05,-5.37
I_Ji_1,42.28,-5.92
I_La_7,40.87,-4.5
I_Ld_0,41.58,-4.71
I_Ls_0,38.86,-3.16
I_Ma_1,39.58,-3.93
I_Me_2,39.66,-4.34
I_Mo_0,42.46,0.7
I_Mo_11,41.57,-5.64
I_Mo_5,38.06,-4.38
I_Mo_0,38.19,-6.24
I_Mu_0,40.71,-5.04
I_Mu_0,41.67,2
I_No_17,40.45,-1.6
I_Or_10,42.97,-1.23
I_Pa_0,42.34,1.3
I_Pa_0,42.76,-0.23
I_Pd_1,42.87,-6.45
I_Pr_0,43.28,-6.01
I_Rd_0,41.86,2.99
I_Re_0,38.6,-2.7
I_Re_0,40.86,-4.11
I_Ri_0,42.34,2.17
I_Sa_0,42.13,-6.7
I_Sa_10,38.33,-3.51
I_Sd_3,42.84,-5.12
I_Se_0,41.48,-1.63
I_Sn_0,37.09,-3.38
I_St_0,41.19,-3.58
I_Sv_0,43.4,-7.39
I_Ta_0,41.03,-3.27
I_Td_0,41.5,-1.88
I_To_7,42.11,0.6
I_To_1,41.6,-2.83
I_Tr_0,43.37,-5.49
I_Va_0,42.86,-3.59
I_Va_2,42.1,-5.44
I_Va_0,42.26,-2.99
I_Vd_0,42.04,1.01
I_Vd_0,40.89,-5.5
I_Ve_5,41.95,-7.45
I_Vi_1,42.31,-2.53
I_Vi_0,41.88,-6.51
I_Vi_0,42.8,-5.77
I_Vi_0,39.85,-6.04
I_Vo_0,41.85,-1.88
I_Vp_1,40.5,-3.96
Aitb_1,31.48,-7.45
Pani_1,53.05,52.15
Kara_2,51.37,59.44
Ada_1,51.41,59.98
Lesn_4,53.04,51.96
Lesn_1,53.04,51.9
Lesn_2,53.04,51.94
Bala_1,55.36,61.41
Part_1,52.99,52.16
Kraz_1,53.06,51.96
Kara_1,51.37,59.44
Bast_1,51.84,79.48
Bast_2,51.82,79.48
Bast_3,51.84,79.46
Bijis_4,52.52,85.27
Chab_2,53.6,79.37
Koly_2,51.31,82.59
Koly_3,51.36,82.59
Koly_5,51.32,82.55
Koly_6,51.33,82.54
_oz_1,51.35,82.18
_oz_3,51.34,82.16
Lebj_1,51.65,80.79
Lebj_2,51.67,80.82
Lebj_4,51.63,80.83
Mas_1,54.13,81.31
Noso_1,51.87,80.6
Nove_1,51.75,80.82
Nove_2,51.77,80.85
Nove_3,51.73,80.86
Pank_1,53.82,80.31
Raki_1,51.87,80.06
Raki_2,51.9,80.06
Raki_3,51.84,80.06
Seve_1,52.1,79.31
Zupa_1,45.07,18.72
Grad_1,45.17,18.7
Aiel_1,39.126899,16.170188
Base_1,40.37,16.77
Bisi_1,39.48,16.28
Bivi_1,39.13,16.17
File_1,40.68,14.87
Giff_1,38.44,16.13
Marc_1,38.92,16.47
Mart_1,40.64,17.31
Meli_1,38.45,16.04
Nica_1,38.97,16.34
Pign_1,41.18,14.18
Sarn_1,40.84,14.57
Cimi_1,39.58,16.21
Tean_1,41.33,14.09
Mitterber__179,46.366,11.2832
Mitterber__180,46.366,11.2832
Mitterber__182,46.366,11.2832
Mitterber__183,46.366,11.2832
Mitterber__184,46.3668,11.2837
Mitterber__185,46.3668,11.2837
Mitterber__186,46.3668,11.2837
Mitterber__187,46.3668,11.2837
Mitterber__188,46.3668,11.2837
Mitterber__189,46.3668,11.2837
Mitterber__192,46.3718,11.2866
Mitterber__193,46.3718,11.2866
Mitterber__194,46.3718,11.2866
Castelfe__195,46.3378,11.2928
Castelfe__196,46.3378,11.2928
Castelfe__197,46.3378,11.2928
Castelfe__198,46.3378,11.2928
Castelfe__199,46.3378,11.2928
Castelfe__200,46.3378,11.2928
Castelfe__201,46.3378,11.2928
Castelfe__202,46.3378,11.2928
Castelfe__203,46.3378,11.2928
Castelfe__205,46.3378,11.2928
Castelfe__206,46.3378,11.2928
Castelfe__207,46.3378,11.2928
Castelfe__208,46.3378,11.2928
Castelfe__209,46.3378,11.2928
Castelfe__210,46.3378,11.2928
Castelfe__211,46.3378,11.2928
Castelfe__214,46.3378,11.2928
Dole_1,41.62,23.94
Goce_1,41.57,23.85
Kola_1,41.37,23.14
Doln__10,42.32,23.1
Ivan_1,43.7,25.91
Meln_1,41.53,23.39
Meln_2,41.53,23.39
Chot_1,41.5,23.33
Dosp_1,41.64,24.18
Podv_1,41.57,24.84
Kard_1,41.62,25.35
Zere__34,41.85,23.13
Zere__35,41.85,23.13
Doln__39,42.32,23.1
Doln__40,42.32,23.1
Star_1,42.49,25.61
Griv_1,41.84,25.75
Lesk__44,41.54,24.98
Kard_2,41.66,25.47
Smol_1,41.55,24.75
Kore_1,41.83,25.69
Mala_1,41.77,25.68
Schi_1,42.72,25.33
Groc_1,41.71,24.41
Slav_2,41.42,23.67
Epidauro_1,37.6,23.08
Faneronem_3,37.07,22.04
Olympi_2,37.63,21.62
Stia_1,48.46,18.9
Stia_2,48.46,18.9
Bel_1,48.47,18.94
Stia_3,48.46,18.9
Halc_1,48.47,18.96
Bel_2,48.47,18.94
Bel_4,48.47,18.94
Tei_2,44.69,25.17
Ulie_1,45.95,22.62
Bra_1,45.57,25.42
To_1,46.01,22.33
Oras_1,45.84,23.16
Furn_1,45.14,25
Ias_1,47.16,27.59
Sij 1/96,41.45,70.05
Zaba_1,44.38,21.22
Zagu_1,44.23,21.71
Knja_1,43.54,22.29
Sred_1,44.66,21.37
Vaju_1,44.56,22.56
Star_2,44.3,21.08
Star_1,44.3,21.08
Alta_5,47.75,88.4
An_0,37.47,49.47
Bi_1,33.92,35.7
Etn_2,37.69,14.98
Qa_8a,34.1,35.84
Westka_4,42.26,74.16
Ru_16,48.57,9.16
H_1,48.55,8.99
KBG_13,48.53,9.01
Pf_N2._6,48.56,9.11
Ho_1,48.41,8.85
Al_1,48.59,9.22
Ber_1,48.41,8.79
Fell_7,48.43,8.79
G_1,48.57,9.17
Bac_7,48.41,8.84
Ba_10,48.5,8.78
Fell_4,48.43,8.79
Kus_2,48.52,9.11
Lu_30,48.53,9.09
T_P_7,48.52,9.05
Erg_6,48.5,8.8
H_HBT_2,48.54,9.02
H__13,48.54,9.01
H_4,48.5,9
KBG_14,48.53,9.01
Ob_13,48.39,8.96
Gn_3,48.58,9.18
Hae_1,48.6,9.2
Lu_2,48.54,9.09
R_N2,48.57,9.16
T_B_2,48.52,9.08
Wan_2,48.5,9.11
Bach_1,48.41,8.84
H_HBT_10,48.54,9.02
H_P_1,48.54,9.01
Har_2,48.39,8.85
H__B,48.54,9.01
H_S_2,48.54,9.01
Kus_1,48.51,9.11
Mu_2,48.42,8.76
